**************************************************
attack_type:  context_agnostic
model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
source_model:  None
attack_context_model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
**************************************************
input_tokens:  22440
output_tokens:  887
reasoning_tokens:  583
input_tokens:  22440
output_tokens:  1013
reasoning_tokens:  769
input_tokens:  22440
output_tokens:  772
reasoning_tokens:  450
input_tokens:  22440
output_tokens:  176
reasoning_tokens:  265
input_tokens:  22440
output_tokens:  635
reasoning_tokens:  599
input_tokens:  22823
output_tokens:  711
reasoning_tokens:  427
input_tokens:  22935
output_tokens:  548
reasoning_tokens:  627
input_tokens:  22741
output_tokens:  294
reasoning_tokens:  586
input_tokens:  22781
output_tokens:  115
reasoning_tokens:  352
input_tokens:  22817
output_tokens:  1101
reasoning_tokens:  439
input_tokens:  14029
output_tokens:  37
reasoning_tokens:  466
input_tokens:  14029
output_tokens:  33
reasoning_tokens:  419
input_tokens:  14029
output_tokens:  14
reasoning_tokens:  326
input_tokens:  14029
output_tokens:  32
reasoning_tokens:  312
input_tokens:  14029
output_tokens:  133
reasoning_tokens:  399
input_tokens:  14412
output_tokens:  96
reasoning_tokens:  494
input_tokens:  14524
output_tokens:  89
reasoning_tokens:  558
input_tokens:  14330
output_tokens:  1009
reasoning_tokens:  833
input_tokens:  14370
output_tokens:  605
reasoning_tokens:  475
input_tokens:  14406
output_tokens:  159
reasoning_tokens:  477
input_tokens:  3436
output_tokens:  117
reasoning_tokens:  494
input_tokens:  3436
output_tokens:  96
reasoning_tokens:  492
input_tokens:  3436
output_tokens:  69
reasoning_tokens:  1982
input_tokens:  3436
output_tokens:  92
reasoning_tokens:  2673
input_tokens:  3436
output_tokens:  112
reasoning_tokens:  330
input_tokens:  3819
output_tokens:  88
reasoning_tokens:  614
input_tokens:  3931
output_tokens:  80
reasoning_tokens:  162
input_tokens:  3737
output_tokens:  52
reasoning_tokens:  668
input_tokens:  3777
output_tokens:  59
reasoning_tokens:  305
input_tokens:  3813
output_tokens:  39
reasoning_tokens:  169
