**************************************************
attack_type:  context_agnostic
model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
source_model:  None
attack_context_model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
Enabling System Prompt Defense
**************************************************
input_tokens:  22555
output_tokens:  26
reasoning_tokens:  268
input_tokens:  22938
output_tokens:  29
reasoning_tokens:  649
input_tokens:  23050
output_tokens:  1214
reasoning_tokens:  529
input_tokens:  22856
output_tokens:  142
reasoning_tokens:  453
input_tokens:  22896
output_tokens:  137
reasoning_tokens:  368
input_tokens:  22932
output_tokens:  132
reasoning_tokens:  416
input_tokens:  14144
output_tokens:  79
reasoning_tokens:  389
input_tokens:  14527
output_tokens:  82
reasoning_tokens:  754
input_tokens:  14639
output_tokens:  62
reasoning_tokens:  754
input_tokens:  14445
output_tokens:  79
reasoning_tokens:  580
input_tokens:  14485
output_tokens:  22
reasoning_tokens:  503
input_tokens:  14521
output_tokens:  18
reasoning_tokens:  930
input_tokens:  3551
output_tokens:  100
reasoning_tokens:  485
input_tokens:  3934
output_tokens:  66
reasoning_tokens:  487
input_tokens:  4046
output_tokens:  101
reasoning_tokens:  265
input_tokens:  3852
output_tokens:  101
reasoning_tokens:  430
input_tokens:  3892
output_tokens:  85
reasoning_tokens:  613
input_tokens:  3928
output_tokens:  82
reasoning_tokens:  355
